id,slug,name,category,tagline,tags,neighborhood,address,city,country,lat,lng,maps_url,website,phone,url,logo_url,hero_url,image_credit,image_source_url,hours_raw,description,about_short,about_long,price_range,pricing,amenities,cuisines,meals,rating_overall,sub_food_quality,sub_service,sub_ambience,sub_value,sub_accessibility,review_count,review_source,review_insight,last_updated,specialties,services,doctors,insurance_accepted,appointment_url,emergency_hours,accreditation,languages,whatsapp,booking_url,whatsapp_url,patient_portal_url,telemedicine,emergency,pharmacy,lab_services,radiology,wheelchair_access,parking,female_doctors
ChIJ6YFv00P_kT4RXs-oW8wkZVE,dr-fakhriya-clinics,DR. FAKHRIYA CLINICS - عيادة الدكتورة فخرية,Clinics,,clinic;healthcare;doctor,,"1st Floor, Building, 651 3009, Muscat, Oman",Muscat,Oman,23.608805,58.453498,https://www.google.com/maps/place/?q=place_id:ChIJ6YFv00P_kT4RXs-oW8wkZVE,http://drfakhriya.com/,+968 7228 1000,http://drfakhriya.com/,https://www.google.com/s2/favicons?domain=drfakhriya.com&sz=128,https://drfakhriya.com/wp-content/uploads/2025/08/wide-main-page.jpg,,,,,"Dr. Fakhriya Clinic is a leading dermatology and aesthetic medical center in Oman, offering expert care in skin treatments, laser therapy","Dr. Fakhriya Clinic is a leading dermatology and aesthetic medical center in Oman, offering expert care in skin treatments, laser therapy A filler service (or dermal filler treatment) is a cosmetic procedure that uses injectable gels (usually made of hyaluronic acid) to add...",,,specialties: Cosmetic;Dermatology;Ent;Neuro;languages: English,,,3.50,,,,,,24,Google,,2025-10-04,Cosmetic;Dermatology;Ent;Neuro,,,,,,,English,,,,,,,,,,,,
ChIJb70X-dP_kT4RD-HlZX-ZhGI,derma-clinica-qurum,Derma Clinica Qurum عيادة ديرما كلينيكا القرم,Clinics,,clinic;healthcare;doctor,,"Muscat, Oman",Muscat,Oman,23.601119,58.445845,https://www.google.com/maps/place/?q=place_id:ChIJb70X-dP_kT4RD-HlZX-ZhGI,https://www.google.com/maps/place/?q=place_id:ChIJb70X-dP_kT4RD-HlZX-ZhGI,+968 22 579626,https://www.google.com/maps/place/?q=place_id:ChIJb70X-dP_kT4RD-HlZX-ZhGI,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrD8nQT_GLRM_WjDCwasW-h3uGdwpaHJ_Kb5jhB6hGnqCNJSv9GLwD_r6pYILt6igcEYAGd2kzwtlr9Z5Ha5hBo7tYMFMzzM2LAbVGJ6ZdlU4in-78Ch4mUKgtFku6PDHTyZQMW=w900-h900-p-k-no,,,,,★★★★★ · Dermatologist,★★★★★ · Dermatologist,,,,,,4.60,,,,,,91,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJidQPKdMBjj4RjeaEHDB7G-4,dermaglow-muscat,Dermaglow Muscat,Clinics,,clinic;healthcare;doctor,,"Muscat, Oman",Muscat,Oman,23.597133,58.358335,https://www.google.com/maps/place/?q=place_id:ChIJidQPKdMBjj4RjeaEHDB7G-4,http://www.instagram.com/dermaglow.muscat,+968 9953 1168,http://www.instagram.com/dermaglow.muscat,https://www.google.com/s2/favicons?domain=www.instagram.com&sz=128,https://www.omanobserver.om/omanobserver/uploads/images/2025/05/11/3009009.jpeg,,,,,,,,,,,,4.30,,,,,,87,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJTYFpEbT9jT4RQw9S7TsDgmM,dr-alaa-eddin-basmaji,Dr Alaa eddin basmaji,Clinics,,clinic;healthcare;doctor,,"Al Mawalih North, Seeb 134, Oman",Muscat,Oman,23.609326,58.246129,https://www.google.com/maps/place/?q=place_id:ChIJTYFpEbT9jT4RQw9S7TsDgmM,https://linktr.ee/alaaaldeenb,+968 9598 3298,https://linktr.ee/alaaaldeenb,https://www.google.com/s2/favicons?domain=linktr.ee&sz=128,https://linktr.ee/og/image/alaaaldeenb.jpg,,,,,D.D.S-O.M.F.S master degree in oral and maxillofacial surgery syrian board,D.D.S-O.M.F.S master degree in oral and maxillofacial surgery syrian board,,,,,,,,,,,,,,,2025-10-04,,,,,,,,,,,https://rb.gy/7tabmn,,,,,,,,,
ChIJ6VV6Jqn_kT4RmJ6mlVHajDs,dr-deepak-nagathan,Dr Deepak Nagathan,Clinics,,clinic;healthcare;doctor,,"Badr Al Sama Royal hospital, Muscat, Oman",Muscat,Oman,23.586589,58.410920,https://www.google.com/maps/place/?q=place_id:ChIJ6VV6Jqn_kT4RmJ6mlVHajDs,http://www.brhoman.com/,+968 22 387777,http://www.brhoman.com/,https://www.google.com/s2/favicons?domain=www.brhoman.com&sz=128,https://d19mw78k5mok0f.cloudfront.net/home_banner_mobile_6aed6f0fb5.jpeg,,,,,,Elevating Healthcare Experience to New Heights of Comfort & Excellence,,,24h/emergency;lab;specialties: Ent;Gastroenterology;Physiotherapy;Urology,,,4.90,,,,,,55,Google,,2025-10-04,Ent;Gastroenterology;Physiotherapy;Urology,,,Yes,,,Accredited,,,https://www.brhoman.com/request-appointment/,,,,Yes,,Yes,,,,
ChIJM0_Q97gsb4cRiiqNxRZ5bZQ,dr-james-pallivathukkal,Dr James Pallivathukkal,Clinics,,clinic;healthcare;doctor,,"badr al samaa royal hospital, Al Ghubrah St, Muscat 133, Oman",Muscat,Oman,23.586540,58.410834,https://www.google.com/maps/place/?q=place_id:ChIJM0_Q97gsb4cRiiqNxRZ5bZQ,https://www.brhoman.com/,+968 9751 0975,https://www.brhoman.com/,https://www.google.com/s2/favicons?domain=www.brhoman.com&sz=128,https://d19mw78k5mok0f.cloudfront.net/home_banner_mobile_6aed6f0fb5.jpeg,,,,,,Elevating Healthcare Experience to New Heights of Comfort & Excellence,,,24h/emergency;lab;specialties: Ent;Gastroenterology;Physiotherapy;Urology,,,5.00,,,,,,88,Google,,2025-10-04,Ent;Gastroenterology;Physiotherapy;Urology,,,Yes,,,Accredited,,,https://www.brhoman.com/request-appointment/,,,,Yes,,Yes,,,,
ChIJV-sQ5bn5kT4RIAssPQMd-sM,dr-khalid-shaikh,Dr Khalid Shaikh,Clinics,,clinic;healthcare;doctor,,"OM, Qurum، مسقط 116, Oman",Muscat,Oman,23.624250,58.517249,https://www.google.com/maps/place/?q=place_id:ChIJV-sQ5bn5kT4RIAssPQMd-sM,https://www.google.com/maps/place/?q=place_id:ChIJV-sQ5bn5kT4RIAssPQMd-sM,+968 7980 9388,https://www.google.com/maps/place/?q=place_id:ChIJV-sQ5bn5kT4RIAssPQMd-sM,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://maps.google.com/maps/api/staticmap?center=23.6242499%2C58.5172492&zoom=16&size=900x900&language=en&markers=23.6242499%2C58.5172492&sensor=false&client=google-maps-frontend&signature=9hC4211rOQ3duCbR07W1bTT3r6Q,,,,,Diabetologist,Diabetologist,,,,,,,,,,,,,,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJQw0a4Or_kT4REjeHjeJz_Hw,dr-naama-al-mamari,Dr Naama Al Mamari,Clinics,,clinic;healthcare;doctor,,"JF77+6GG, 2818 Way, Muscat, Oman",Muscat,Oman,23.613045,58.464104,https://www.google.com/maps/place/?q=place_id:ChIJQw0a4Or_kT4REjeHjeJz_Hw,http://www.drnaamaalmamari.com/,+968 9069 0244,http://www.drnaamaalmamari.com/,https://www.google.com/s2/favicons?domain=www.drnaamaalmamari.com&sz=128,https://d3vkcjrczgp3xm.cloudfront.net/seo/og_image/831/f79b5df9-d303-434b-92eb-10e1de2fe52e.png,,,,,تعرفوا على خدمات د. ناعمة المعمري في علاج تأخر الإنجاب والإخصاب خارج الجسم، الحقن المجهري، وفحص الأجنة الوراثي في سلطنة عمان. رعاية دقيقة وحلول متقدمة...,تعرفوا على خدمات د. ناعمة المعمري في علاج تأخر الإنجاب والإخصاب خارج الجسم، الحقن المجهري، وفحص الأجنة الوراثي في سلطنة عمان. رعاية دقيقة وحلول متقدمة... أقدم خدماتي منذ ١٥ عامًا في مركز العناية بالأم والجنين في مسقط، سلطنة عمان,,,,,,4.70,,,,,,3,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJq9EAqy_9jT4RjRq_s88EBvQ,dr-rothman-pt,Dr Rothman PT,Clinics,,clinic;healthcare;doctor,,"J6QG+MM8 NMC Hospital, Seeb St, Sib 121, Oman",Muscat,Oman,23.638847,58.227058,https://www.google.com/maps/place/?q=place_id:ChIJq9EAqy_9jT4RjRq_s88EBvQ,https://www.google.com/maps/place/?q=place_id:ChIJq9EAqy_9jT4RjRq_s88EBvQ,,https://www.google.com/maps/place/?q=place_id:ChIJq9EAqy_9jT4RjRq_s88EBvQ,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AgYOp6UqXS4J2KRPe4MVRw&cb_client=search.gws-prod.gps&w=900&h=900&yaw=225.25053&pitch=0&thumbfov=100,,,,,★★★★★ · Pulmonologist,★★★★★ · Pulmonologist,,,,,,4.90,,,,,,18,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJR7tWeXX5kT4R_n3ya8mEbbQ,dr-sanjay-kumar-gulani,Dr Sanjay kumar Gulani,Clinics,,clinic;healthcare;doctor,,"HGVW+8FM Bombay medical & diagnostic centre, Muscat, Oman",Muscat,Oman,23.593334,58.546166,https://www.google.com/maps/place/?q=place_id:ChIJR7tWeXX5kT4R_n3ya8mEbbQ,https://www.google.com/maps/place/?q=place_id:ChIJR7tWeXX5kT4R_n3ya8mEbbQ,+968 24 795252,https://www.google.com/maps/place/?q=place_id:ChIJR7tWeXX5kT4R_n3ya8mEbbQ,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npfmt7yxmqjBj_gCI7DGyibVjhUBo2-AnWrynKATA1u4pYfZ61sWMaHq0YZZtRFOLGs3ftJQEX0y8-kEyoWcnK6oKIxJI-k2WVMSjRid3UY9SzY3QkhSUgUp2287YZdx-jGOL8=w900-h900-p-k-no,,,,,★★★★★ · Doctor,★★★★★ · Doctor,,,,,,5.00,,,,,,2,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJ-SsVGnj_kT4RDOd9K6Y5BLw,dr-shifana-attur,Dr Shifana Attur,Clinics,,clinic;healthcare;doctor,,"Al Ghubrah St, Muscat, Oman",Muscat,Oman,23.589902,58.407400,https://www.google.com/maps/place/?q=place_id:ChIJ-SsVGnj_kT4RDOd9K6Y5BLw,https://www.google.com/maps/place/?q=place_id:ChIJ-SsVGnj_kT4RDOd9K6Y5BLw,+968 22 004000,https://www.google.com/maps/place/?q=place_id:ChIJ-SsVGnj_kT4RDOd9K6Y5BLw,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SgGifMsb46VnGydGVlQF8g&cb_client=search.gws-prod.gps&w=900&h=900&yaw=300.26358&pitch=0&thumbfov=100,,,,,★★★★★ · Obstetrician-gynecologist,★★★★★ · Obstetrician-gynecologist,,,,,,5.00,,,,,,1,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJE0zNKQD_kT4RzTSsYrbB8OU,dr-subirendra-kumar-ent-senior-consultant,Dr Subirendra Kumar (ENT Senior consultant),Clinics,,clinic;healthcare;doctor,,"Muscat, Oman",Muscat,Oman,23.586724,58.410715,https://www.google.com/maps/place/?q=place_id:ChIJE0zNKQD_kT4RzTSsYrbB8OU,https://www.google.com/maps/place/?q=place_id:ChIJE0zNKQD_kT4RzTSsYrbB8OU,,https://www.google.com/maps/place/?q=place_id:ChIJE0zNKQD_kT4RzTSsYrbB8OU,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/p/AF1QipPfjqFr_Q3BDMTIZ7RsMtw1p5SOKmPc3M5kU-PA=w900-h900-p-k-no,,,,,★★★★★ · Otolaryngologist,★★★★★ · Otolaryngologist,,,,,,5.00,,,,,,4,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJn5NFTnj9jT4R37pXZe5knuQ,dr-vijeev-sunny-pediatrician-in-mawalah,Dr Vijeev Sunny (Pediatrician) in Mawalah,Clinics,,clinic;healthcare;doctor,,"Al Mazoon St, Muscat, Oman",Muscat,Oman,23.612804,58.226698,https://www.google.com/maps/place/?q=place_id:ChIJn5NFTnj9jT4R37pXZe5knuQ,https://instagram.com/vijeevsunny?igshid=Yzg5MTU1MDY=,+968 9764 8802,https://instagram.com/vijeevsunny?igshid=Yzg5MTU1MDY=,https://www.google.com/s2/favicons?domain=instagram.com&sz=128,https://www.omanobserver.om/omanobserver/uploads/images/2025/04/02/2969730.jpeg,,,,,,,,,,,,4.90,,,,,,18,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJMxpLozz_kT4RF3vPeO1KZ0g,dr-ilamaran-pediatrician-muscat,Dr. Ilamaran (pediatrician muscat),Clinics,,clinic;healthcare;doctor,,"Al Ghubrah St, Muscat 112, Oman",Muscat,Oman,23.586736,58.410792,https://www.google.com/maps/place/?q=place_id:ChIJMxpLozz_kT4RF3vPeO1KZ0g,https://www.google.com/maps/place/?q=place_id:ChIJMxpLozz_kT4RF3vPeO1KZ0g,+968 22 387777,https://www.google.com/maps/place/?q=place_id:ChIJMxpLozz_kT4RF3vPeO1KZ0g,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/p/AF1QipO-3XhJ19t9aYR3kgiF9cIRfdE5KulhETXXORts=w900-h900-p-k-no,,,,,★★★★★ · Pediatrician,★★★★★ · Pediatrician,,,,,,5.00,,,,,,7,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJe-Uuma39jT4RL_WTrShP3M0,dr-mohammad-alsalman,Dr. Mohammad Alsalman,Clinics,,clinic;healthcare;doctor,,"Al Mauj St, Muscat, Oman",Muscat,Oman,23.620002,58.258700,https://www.google.com/maps/place/?q=place_id:ChIJe-Uuma39jT4RL_WTrShP3M0,https://www.instagram.com/dr.m.alsalman/profilecard/?igsh=MWt0bDhqaW8zZHdpcA==,+968 9787 0030,https://www.instagram.com/dr.m.alsalman/profilecard/?igsh=MWt0bDhqaW8zZHdpcA==,https://www.google.com/s2/favicons?domain=www.instagram.com&sz=128,https://www.omanobserver.om/omanobserver/uploads/images/2024/07/21/2723587.jpg,,,,,,,,,,,,5.00,,,,,,3,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJZy_a4In_kT4R5xe1uc2pqLw,dr-prateek-agarwal-laparoscopic-surgeon,"Dr. Prateek Agarwal, Laparoscopic Surgeon",Clinics,,clinic;healthcare;doctor,,"Al Ghubrah St, Muscat, Oman",Muscat,Oman,23.586609,58.410917,https://www.google.com/maps/place/?q=place_id:ChIJZy_a4In_kT4R5xe1uc2pqLw,https://www.instagram.com/drprateeksurgeon,,https://www.instagram.com/drprateeksurgeon,https://www.google.com/s2/favicons?domain=www.instagram.com&sz=128,https://static.cdninstagram.com/rsrc.php/v4/yR/r/hexDR1NOpRC.png,,,,,Create an account or log in to Instagram - Share what you're into with the people who get you.,Create an account or log in to Instagram - Share what you're into with the people who get you.,,,,,,5.00,,,,,,314,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJ7dbTZbP9jT4RsX7Hes3_Zj4,dr-shabana-s-bowsher-dental-al-khoud-branch,Dr. Shabana’s Bowsher Dental (Al Khoud Branch),Clinics,,clinic;healthcare;doctor,,"Mazoon Street, Al Khoud, Oman",Muscat,Oman,23.615491,58.194359,https://www.google.com/maps/place/?q=place_id:ChIJ7dbTZbP9jT4RsX7Hes3_Zj4,http://www.bowsherdental.com/,+968 9394 8316,http://www.bowsherdental.com/,https://www.google.com/s2/favicons?domain=www.bowsherdental.com&sz=128,https://www.bowsherdental.com/gallery_gen/813083a743923828d4412f9d27739a67_662x52.920060331825.png,,,,,"Bowsher Dental Clinic is a renowned dental facility located in Muscat, Oman, specializing in various dental services, including Orthodontics, Invisalign Treatment, Dental Implants, Cosmetic…","Bowsher Dental Clinic is a renowned dental facility located in Muscat, Oman, specializing in various dental services, including Orthodontics, Invisalign Treatment, Dental Implants, Cosmetic Dentistry, and more. Opening Hours : Saturday to THURSDAY - 9:00 AM - 1:00 PM & 4:00PM - 9:00 PM",,,lab;specialties: Dental;Dentistry;Ent;Orthodontics,,,4.70,,,,,,284,Google,,2025-10-04,Dental;Dentistry;Ent;Orthodontics,,,,,,,,,https://www.bowsherdental.com/BOOK-APPOINTMENT/,,,,,,Yes,,,,
ChIJ2xZnP-n_kT4RBcPAxO5b59A,dr-tariq-siddiqui-nose-job-oman-rhinoplasty-oman-ent-doctor-oman,Dr. Tariq Siddiqui | Nose Job Oman | تجميل الأنف | Rhinoplasty Oman | ENT Doctor Oman |,Clinics,,clinic;healthcare;doctor,,"NMC Specialty Hospital, Ghubrah، 133 Al Ghubrah St, Muscat, Oman",Muscat,Oman,23.585484,58.408134,https://www.google.com/maps/place/?q=place_id:ChIJ2xZnP-n_kT4RBcPAxO5b59A,https://www.nosejoboman.com/,+968 9576 2227,https://www.nosejoboman.com/,https://www.google.com/s2/favicons?domain=www.nosejoboman.com&sz=128,"https://static.wixstatic.com/media/a715dc_b362bfc637454f1a912d3d1b4dc1fc23~mv2.jpeg/v1/fill/w_112,h_112,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Untitled.jpeg",,,,,"Dr. Tariq G. Siddiqui is an ENT Surgeon with over 35 years of experience in pronounced institutions, specialising in Rhinoplasty (","Dr. Tariq G. Siddiqui is an ENT Surgeon with over 35 years of experience in pronounced institutions, specialising in Rhinoplasty ( | Corrective Nasal Surgery | Rhinoplasty | تجميل الأنف | ENT Doctor |",,,specialties: Ent,,,5.00,,,,,,11,Google,,2025-10-04,Ent,,,,,,Accredited,,,https://www.nosejoboman.com/book-online,,,,,,,,,,
ChIJ0w_XPzD_kT4RZv0_3rTbZkw,dr-ayham-qanu,Dr.Ayham Qanu,Clinics,,clinic;healthcare;doctor,,"Cosmeclic, 1303 Way 3017, Villa 132, Oman",Muscat,Oman,23.600908,58.445550,https://www.google.com/maps/place/?q=place_id:ChIJ0w_XPzD_kT4RZv0_3rTbZkw,https://www.google.com/maps/place/?q=place_id:ChIJ0w_XPzD_kT4RZv0_3rTbZkw,+968 9339 0605,https://www.google.com/maps/place/?q=place_id:ChIJ0w_XPzD_kT4RZv0_3rTbZkw,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/p/AF1QipNWzLMcZSrrgWra2794kYsNfArvQ5frXdfiZ0E5=w900-h900-p-k-no,,,,,★★★★★ · Plastic surgeon,★★★★★ · Plastic surgeon,,,,,,5.00,,,,,,2,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJa6OW0uX_kT4RshWQUZYRntM,dr-taraf,Dr_taraf,Clinics,,clinic;healthcare;doctor,,"18th November St, Muscat, Oman",Muscat,Oman,23.596506,58.403431,https://www.google.com/maps/place/?q=place_id:ChIJa6OW0uX_kT4RshWQUZYRntM,https://www.google.com/maps/place/?q=place_id:ChIJa6OW0uX_kT4RshWQUZYRntM,+968 9207 7132,https://www.google.com/maps/place/?q=place_id:ChIJa6OW0uX_kT4RshWQUZYRntM,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=S5aCluuR_kxd3MiHgA_1Zw&cb_client=search.gws-prod.gps&w=900&h=900&yaw=19.087795&pitch=0&thumbfov=100,,,,,Dermatologist,Dermatologist,,,,,,,,,,,,,,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJf3sYXAr_kT4RFsSdCG5lMIM,emc-skin-clinic-oman-emc-muscat-dermatology-dentistry,EMC Skin Clinic Oman - EMC Muscat - Dermatology - Dentistry,Clinics,,clinic;healthcare;doctor,,"Sultan Qaboos Street Qurum - Al Sarooj Plaza Mina Al Fahhal، Muscat 487, Oman",Muscat,Oman,23.606519,58.453018,https://www.google.com/maps/place/?q=place_id:ChIJf3sYXAr_kT4RFsSdCG5lMIM,https://www.google.com/maps/place/?q=place_id:ChIJf3sYXAr_kT4RFsSdCG5lMIM,+968 24 604540,https://www.google.com/maps/place/?q=place_id:ChIJf3sYXAr_kT4RFsSdCG5lMIM,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrdI0pvpGooX8BOlpxad2fKsrjGGTw7fE6te31jlcT-iK6rJw8v-aPq0cuh2RYe6z9QQT-3_uhUWcd6cbPXISYFu3k_tLc-cUmAZuZqrc-Hi5OLXJKWqPB7r6yQ3z4RAWAbYEo=w900-h900-p-k-no,,,,,★★★★★ · Skin care clinic,★★★★★ · Skin care clinic,,,,,,4.70,,,,,,1376,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJyf-nrvH_kT4RrAmGAoEjbYs,echo-wellness,Echo Wellness صدى العافية,Clinics,,clinic;healthcare;doctor,,"Villa 895, Al Inshirah St Sarooj, مسقط، Oman",Muscat,Oman,23.605168,58.450976,https://www.google.com/maps/place/?q=place_id:ChIJyf-nrvH_kT4RrAmGAoEjbYs,https://www.echowellness.me/,+968 9098 3000,https://www.echowellness.me/,https://www.google.com/s2/favicons?domain=www.echowellness.me&sz=128,https://www.echowellness.me/uploads/1/Group-11.png,,,,,Hospital Management System | HMS,"Hospital Management System | HMS With expertise in personalized care, Echo Wellness creates transformative programs, empowering individuals to thrive and achieve well-being.",,,specialties: Ent,,,5.00,,,,,,3,Google,,2025-10-04,Ent,,,,,,,,,https://www.echowellness.me/appointment,,https://www.echowellness.me/login,,,,,,,,
ChIJi6x-JMP_kT4RTdsuyyKvUXA,enfield-royal-clinics-oman,Enfield Royal Clinics Oman,Clinics,,clinic;healthcare;doctor,,"Al Sarooj, 3013 Way, شارع الخارجية، مسقط، Oman",Muscat,Oman,23.604762,58.450778,https://www.google.com/maps/place/?q=place_id:ChIJi6x-JMP_kT4RTdsuyyKvUXA,https://www.enfieldroyalclinics.om/,+968 24 600020,https://www.enfieldroyalclinics.om/,https://www.google.com/s2/favicons?domain=www.enfieldroyalclinics.om&sz=128,https://www.enfieldroyalclinics.om/wp-content/uploads/2024/05/Rectangle-21.webp,,,,,Discover a range of advanced cosmetic treatments to enhance your beauty and boost confidence at Enfield Royal Clinic Oman. Visit us to fulfill your dreams!,"Discover a range of advanced cosmetic treatments to enhance your beauty and boost confidence at Enfield Royal Clinic Oman. Visit us to fulfill your dreams! Achieve your body goals: Transform Today, Shine Tomorrow!” with the Enfield Royal Clinic",,,wheelchair access;specialties: Cosmetic;Dental;Ent;Eye;Plastic Surgery,,,4.40,,,,,,54,Google,,2025-10-04,Cosmetic;Dental;Ent;Eye;Plastic Surgery,,,,,,Accredited,,,https://www.enfieldroyalclinics.om/#elementor-action%3Aaction%3Dpopup%3Aopen%26settings%3DeyJpZCI6IjI2NTUiLCJ0b2dnbGUiOmZhbHNlfQ%3D%3D,https://wa.link/vwqhre,,,,,,,Yes,,
ChIJ2Z4Iasn9jT4ROzpgD7lp5TU,eve-medical-center-oman-derma-laser-hair-removal-and-dental,"Eve Medical Center Oman - Derma ,Laser hair removal and Dental",Clinics,,clinic;healthcare;doctor,,"Qurum, Muscat, Oman",Muscat,Oman,23.611878,58.494449,https://www.google.com/maps/place/?q=place_id:ChIJ2Z4Iasn9jT4ROzpgD7lp5TU,http://www.evemedicals.com/,+968 24 571800,http://www.evemedicals.com/,https://www.google.com/s2/favicons?domain=www.evemedicals.com&sz=128,https://evemedicals.com/wp-content/uploads/2024/03/evelogo_icon.png,,,,,"All about trust and quality Eve Medicals is a healthcare provider that was founded in 2008 in Ajman, UAE.","All about trust and quality Eve Medicals is a healthcare provider that was founded in 2008 in Ajman, UAE.",,,specialties: Dental;Ent;Gynecology,,,4.60,,,,,,72,Google,,2025-10-04,Dental;Ent;Gynecology,,,Yes,,,,,,https://evemedicals.com/#elementor-action%3Aaction%3Dpopup%3Aopen%26settings%3DeyJpZCI6IjMwNzQiLCJ0b2dnbGUiOmZhbHNlfQ%3D%3D,https://wa.me/96824571800,,,,,,,,,
ChIJyzvo-nf9jT4RDWe1D1-ZOuU,foot-care,Foot Care,Clinics,,clinic;healthcare;doctor,,"J65V+RG7, Seeb, Oman",Muscat,Oman,23.609534,58.243788,https://www.google.com/maps/place/?q=place_id:ChIJyzvo-nf9jT4RDWe1D1-ZOuU,http://www.instagram.com/footcare.om,+968 24 189725,http://www.instagram.com/footcare.om,https://www.google.com/s2/favicons?domain=www.instagram.com&sz=128,https://www.omanobserver.om/omanobserver/uploads/images/2025/03/18/2958648.jpg,,,,,,,,,,,,4.10,,,,,,83,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJB-1L2CAAjj4RP8rcRzcpm1k,fusion-medicare-polyclinic-gp-laboratory,Fusion Medicare Polyclinic - GP Laboratory الإندماج للعناية الطبية,Clinics,,clinic;healthcare;doctor,,"Ground floor, Al Mamour Building, Building No. 1542 Way, 319 شارع الجامع الأكبر، مسقط 130, Oman",Muscat,Oman,23.583528,58.368891,https://www.google.com/maps/place/?q=place_id:ChIJB-1L2CAAjj4RP8rcRzcpm1k,https://www.google.com/maps/place/?q=place_id:ChIJB-1L2CAAjj4RP8rcRzcpm1k,+968 9769 8004,https://www.google.com/maps/place/?q=place_id:ChIJB-1L2CAAjj4RP8rcRzcpm1k,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/p/AF1QipNSLU3G15j7K2hqEArfacBzLfVSbC3koXU_jRF-=w900-h900-p-k-no,,,,,★★★★★ · Hospital,★★★★★ · Hospital,,,,,,4.60,,,,,,48,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJf_xTC7njjT4RufPJO5s1PZY,future-spine-center,Future Spine Center,Clinics,,clinic;healthcare;doctor,,"2378 Nuzha street, مسقط، Oman",Muscat,Oman,23.613516,58.132236,https://www.google.com/maps/place/?q=place_id:ChIJf_xTC7njjT4RufPJO5s1PZY,https://futurespinecenter.com/,+968 9215 2152,https://futurespinecenter.com/,https://www.google.com/s2/favicons?domain=futurespinecenter.com&sz=128,https://www.omanobserver.om/omanobserver/uploads/images/2025/05/11/3009009.jpeg,,,,,,,,,,,,4.40,,,,,,58,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJewWo-bj_kT4RJv_7UVfc_og,ghala-clinic-pharmacy-al-ghubrah,Ghala Clinic & Pharmacy Al Ghubrah عيادة وصيدلة غلا,Clinics,,clinic;healthcare;doctor,,"Opposite Indian School, Al Ghubra, شارع الضيافة، مسقط 111, Oman",Muscat,Oman,23.586687,58.396752,https://www.google.com/maps/place/?q=place_id:ChIJewWo-bj_kT4RJv_7UVfc_og,https://ghalamedicalclinic.com/,+968 24 614272,https://ghalamedicalclinic.com/,https://www.google.com/s2/favicons?domain=ghalamedicalclinic.com&sz=128,https://www.omanobserver.om/omanobserver/uploads/images/2025/04/02/2969730.jpeg,,,,,,,,,,,,4.50,,,,,,43,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
